geoid,doc,dentist,pop
17031802802,2,2,6594
17031802900,17,17,6080
17031803005,14,7,2655
17031803007,2,13,5247
17031803008,2,3,4712
17031803010,4,0,5196
17031803012,0,0,2221
17031803013,1,2,5449
17031803014,0,0,3430
17031803015,0,1,4459
17031803016,0,0,1979
17031803017,8,10,6058
17031803100,15,4,3440
17031803200,1,0,5586
17031803300,1,16,5543
17031803400,1,12,6384
17031803500,35,10,5813
17031803603,0,0,6751
17031803604,2,10,4314
17031803605,2,0,7253
17031803606,3,2,8287
17031803607,0,0,5164
17031803608,0,0,7326
17031803610,0,2,7198
17031803611,0,0,6112
17031803612,0,0,3536
17031803701,1,11,2705
17031803702,1,2,6255
17031803800,3,8,4725
17031803901,1,3,3452
17031803902,0,1,3513
17031804000,0,1,4587
17031804102,1,8,6993
17031804104,0,0,4980
17031804105,0,4,4000
17031804106,1,8,7024
17031804108,1,1,3879
17031804109,1,2,2955
17031804201,7,15,8173
17031804202,2,11,7463
17031804305,2,2,7216
17031804306,1,5,5564
17031804308,1,8,5486
17031804309,0,3,3230
17031804310,3,4,9088
17031804311,0,1,8148
17031804403,1,7,6760
17031804404,2,0,5233
17031804405,0,3,3701
17031804406,0,0,6247
17031804505,6,6,3831
17031804506,0,2,5461
17031804507,0,2,12480
17031804508,1,1,2244
17031804509,0,1,6288
17031804510,2,6,6145
17031804511,1,0,2414
17031804603,21,16,5581
17031804606,2,3,7118
17031804607,0,6,7049
17031804608,0,3,3787
17031804609,2,2,5672
17031804610,3,3,2320
17031804611,8,6,4359
17031804701,54,10,6837
17031804705,0,1,3976
17031804706,4,7,2472
17031804709,2,17,6510
17031804710,0,0,4350
17031804711,0,5,7442
17031804712,0,0,5392
17031804713,0,2,4694
17031804714,1,5,3480
17031804715,0,3,3292
17031804716,0,2,5490
17031804803,1,4,5392
17031804804,3,1,6537
17031804805,2,1,6911
17031804806,0,0,3751
17031804807,1,1,5172
17031804808,0,0,2533
17031804809,3,1,4224
17031804810,10,11,6949
17031804901,8,15,6648
17031804902,0,3,5523
17031805001,1,1,4694
17031805002,5,3,6941
17031805105,6,6,7356
17031805106,5,2,2718
17031805107,12,11,6460
17031805108,3,7,6699
17031805109,1,3,4359
17031805110,2,4,4220
17031805111,6,3,7027
17031805112,1,1,3558
17031805201,0,1,3406
17031805202,0,3,4028
17031805301,0,1,3496
17031805302,0,3,3602
17031805401,6,12,3841
17031805402,13,9,5095
17031805501,0,7,3400
17031805502,9,12,3888
17031805600,3,5,4511
17031805701,0,0,5074
17031805702,0,0,2015
17031805801,0,0,2400
17031805802,6,11,4926
17031805901,5,10,3834
17031805902,71,5,6449
17031806001,5,5,5812
17031806002,5,0,7550
